,_id,ask,bid,expiration,impliedvolatility,lastprice,lasttradedate,openinterest,quotetime,ticker,strike,contractsymbol,type,underlying_price,updatedate,update_datetime,update_hour,updatetime,volume
268,SPY190204C00262000_20190204_10,8.58,8.34,2019-02-04,0.3574283008,7.92,2019-02-04 15:34:51,1873.0,2019-02-04T16:25:01.000Z,SPY,262.0,SPY190204C00262000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,14.0
271,SPY190204C00263000_20190204_10,7.67,7.34,2019-02-04,0.37500625,7.03,2019-02-04 15:44:28,1629.0,2019-02-04T16:25:01.000Z,SPY,263.0,SPY190204C00263000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,23.0
274,SPY190204C00264000_20190204_10,6.58,6.4,2019-02-04,0.2871165039,6.4,2019-02-04 16:06:00,1994.0,2019-02-04T16:25:01.000Z,SPY,264.0,SPY190204C00264000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,14.0
277,SPY190204C00265000_20190204_10,5.42,5.25,2019-02-04,1e-05,5.3,2019-02-04 16:00:57,5055.0,2019-02-04T16:25:01.000Z,SPY,265.0,SPY190204C00265000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,88.0
280,SPY190204C00266000_20190204_10,4.61,4.35,2019-02-04,0.2294998926,4.02,2019-02-04 15:19:46,3334.0,2019-02-04T16:25:01.000Z,SPY,266.0,SPY190204C00266000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,37.0
283,SPY190204C00267000_20190204_10,3.4,3.35,2019-02-04,1e-05,3.41,2019-02-04 16:07:48,12716.0,2019-02-04T16:25:01.000Z,SPY,267.0,SPY190204C00267000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,292.0
286,SPY190204C00268000_20190204_10,2.5,2.45,2019-02-04,0.0878997461,2.41,2019-02-04 16:07:49,3224.0,2019-02-04T16:25:01.000Z,SPY,268.0,SPY190204C00268000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1186.0
289,SPY190204C00269000_20190204_10,1.52,1.48,2019-02-04,0.0703217969,1.5,2019-02-04 16:08:31,4725.0,2019-02-04T16:25:01.000Z,SPY,269.0,SPY190204C00269000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,3257.0
291,SPY190204C00270000_20190204_10,0.77,0.76,2019-02-04,0.0861907788,0.76,2019-02-04 16:06:04,9945.0,2019-02-04T16:25:01.000Z,SPY,270.0,SPY190204C00270000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,17474.0
234,SPY190301C00250000_20190204_10,21.39,21.12,2019-03-01,0.2414626636,20.63,2019-02-01 20:00:47,40.0,2019-02-04T16:25:03.000Z,SPY,250.0,SPY190301C00250000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,5.0
239,SPY190301C00252000_20190204_10,19.47,19.27,2019-03-01,0.2292557544,19.09,2019-02-01 14:50:02,43.0,2019-02-04T16:25:03.000Z,SPY,252.0,SPY190301C00252000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,3.0
242,SPY190301C00253000_20190204_10,18.68,18.43,2019-03-01,0.234016449,18.08,2019-01-31 19:01:20,41.0,2019-02-04T16:25:03.000Z,SPY,253.0,SPY190301C00253000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,3.0
245,SPY190301C00254000_20190204_10,17.74,17.44,2019-03-01,0.2281571326,15.33,2019-01-30 19:41:47,638.0,2019-02-04T16:25:03.000Z,SPY,254.0,SPY190301C00254000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
248,SPY190301C00255000_20190204_10,16.79,16.52,2019-03-01,0.2214433325,15.73,2019-01-31 16:17:38,640.0,2019-02-04T16:25:03.000Z,SPY,255.0,SPY190301C00255000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,12.0
251,SPY190301C00256000_20190204_10,15.7,15.5,2019-03-01,0.2064288342,15.5,2019-01-31 16:47:09,472.0,2019-02-04T16:25:03.000Z,SPY,256.0,SPY190301C00256000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,7.0
254,SPY190301C00257000_20190204_10,14.7,14.58,2019-03-01,0.1966633069,14.98,2019-02-01 14:30:00,1281.0,2019-02-04T16:25:03.000Z,SPY,257.0,SPY190301C00257000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
256,SPY190301C00257500_20190204_10,14.29,14.11,2019-03-01,0.1966633069,13.85,2019-02-01 19:50:09,321.0,2019-02-04T16:25:03.000Z,SPY,257.5,SPY190301C00257500,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
258,SPY190301C00258000_20190204_10,13.93,13.73,2019-03-01,0.1992267578,13.24,2019-02-04 15:31:42,628.0,2019-02-04T16:25:03.000Z,SPY,258.0,SPY190301C00258000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
263,SPY190301C00260000_20190204_10,12.05,12.0,2019-03-01,0.1843953632,11.44,2019-02-04 15:27:17,2423.0,2019-02-04T16:25:03.000Z,SPY,260.0,SPY190301C00260000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,10.0
266,SPY190301C00261000_20190204_10,11.22,11.18,2019-03-01,0.1816488086,10.6,2019-02-01 20:26:37,1856.0,2019-02-04T16:25:03.000Z,SPY,261.0,SPY190301C00261000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,47.0
269,SPY190301C00262000_20190204_10,10.26,10.23,2019-03-01,0.1723105231,10.15,2019-02-04 14:48:06,7853.0,2019-02-04T16:25:03.000Z,SPY,262.0,SPY190301C00262000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,5.0
272,SPY190301C00263000_20190204_10,9.49,9.45,2019-03-01,0.170845694,9.21,2019-02-01 20:33:18,1492.0,2019-02-04T16:25:03.000Z,SPY,263.0,SPY190301C00263000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,159.0
275,SPY190301C00264000_20190204_10,8.54,8.49,2019-03-01,0.1610191321,8.06,2019-02-04 15:08:20,1053.0,2019-02-04T16:25:03.000Z,SPY,264.0,SPY190301C00264000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,5.0
278,SPY190301C00265000_20190204_10,7.78,7.73,2019-03-01,0.1583336121,7.84,2019-02-04 16:03:47,13254.0,2019-02-04T16:25:03.000Z,SPY,265.0,SPY190301C00265000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,60.0
281,SPY190301C00266000_20190204_10,7.0,6.96,2019-03-01,0.1538170557,6.65,2019-02-01 20:02:05,7986.0,2019-02-04T16:25:03.000Z,SPY,266.0,SPY190301C00266000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,46.0
284,SPY190301C00267000_20190204_10,6.2,6.15,2019-03-01,0.1477136011,6.14,2019-02-04 16:01:34,959.0,2019-02-04T16:25:03.000Z,SPY,267.0,SPY190301C00267000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,108.0
287,SPY190301C00268000_20190204_10,5.58,5.54,2019-03-01,0.1471032556,5.45,2019-02-04 16:01:34,1685.0,2019-02-04T16:25:03.000Z,SPY,268.0,SPY190301C00268000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,204.0
292,SPY190301C00270000_20190204_10,4.29,4.25,2019-03-01,0.1403894556,4.2,2019-02-04 16:02:15,4911.0,2019-02-04T16:25:03.000Z,SPY,270.0,SPY190301C00270000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,65.0
295,SPY190301C00272000_20190204_10,3.16,3.12,2019-03-01,0.1339197937,2.95,2019-02-04 15:37:10,1734.0,2019-02-04T16:25:03.000Z,SPY,272.0,SPY190301C00272000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,215.0
297,SPY190301C00272500_20190204_10,2.9,2.87,2019-03-01,0.1321497919,2.7,2019-02-04 15:43:10,1323.0,2019-02-04T16:25:03.000Z,SPY,272.5,SPY190301C00272500,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,146.0
298,SPY190301C00273000_20190204_10,2.62,2.59,2019-03-01,0.1292811682,2.5,2019-02-04 15:57:15,1828.0,2019-02-04T16:25:03.000Z,SPY,273.0,SPY190301C00273000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,19.0
304,SPY190301C00278000_20190204_10,0.89,0.87,2019-03-01,0.1166470172,0.89,2019-02-04 15:12:15,13215.0,2019-02-04T16:25:03.000Z,SPY,278.0,SPY190301C00278000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,4.0
310,SPY190301C00283000_20190204_10,0.26,0.25,2019-03-01,0.1145108081,0.28,2019-02-01 20:29:42,317.0,2019-02-04T16:25:03.000Z,SPY,283.0,SPY190301C00283000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,320.0
313,SPY190301C00285000_20190204_10,0.15,0.14,2019-03-01,0.1142666699,0.14,2019-02-04 15:29:25,905.0,2019-02-04T16:25:03.000Z,SPY,285.0,SPY190301C00285000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,110.0
337,SPY190311C00255000_20190204_10,0.0,0.0,2019-03-11,1e-05,16.97,2019-02-01 18:48:08,,2019-02-04T16:54:56.000Z,SPY,255.0,SPY190311C00255000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,17.0
338,SPY190311C00260000_20190204_10,0.0,0.0,2019-03-11,1e-05,12.15,2019-02-01 19:57:59,,2019-02-04T16:54:56.000Z,SPY,260.0,SPY190311C00260000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,16.0
342,SPY190311C00265000_20190204_10,0.0,0.0,2019-03-11,1e-05,8.64,2019-02-01 18:57:31,,2019-02-04T16:54:56.000Z,SPY,265.0,SPY190311C00265000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,781.0
348,SPY190311C00270000_20190204_10,0.0,0.0,2019-03-11,1e-05,5.3,2019-02-01 18:43:43,,2019-02-04T16:54:56.000Z,SPY,270.0,SPY190311C00270000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,429.0
353,SPY190311C00275000_20190204_10,0.0,0.0,2019-03-11,0.0156348438,2.89,2019-02-01 16:36:22,,2019-02-04T16:54:56.000Z,SPY,275.0,SPY190311C00275000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,725.0
359,SPY190311C00280000_20190204_10,0.0,0.0,2019-03-11,0.0312596875,1.0,2019-02-01 20:42:57,,2019-02-04T16:54:56.000Z,SPY,280.0,SPY190311C00280000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,167.0
363,SPY190311C00285000_20190204_10,0.0,0.0,2019-03-11,0.0312596875,0.33,2019-02-01 20:12:25,,2019-02-04T16:54:56.000Z,SPY,285.0,SPY190311C00285000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,12.0
370,SPY190311C00290000_20190204_10,0.0,0.0,2019-03-11,0.062509375,0.14,2019-02-01 18:45:04,,2019-02-04T16:54:56.000Z,SPY,290.0,SPY190311C00290000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,5.0
335,SPY190322C00247500_20190204_10,0.0,0.0,2019-03-22,1e-05,24.45,2019-02-01 17:24:50,,2019-02-04T16:54:56.000Z,SPY,247.5,SPY190322C00247500,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,1.0
336,SPY190322C00254000_20190204_10,0.0,0.0,2019-03-22,1e-05,19.05,2019-02-01 15:19:06,,2019-02-04T16:54:56.000Z,SPY,254.0,SPY190322C00254000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,1.0
339,SPY190322C00262000_20190204_10,0.0,0.0,2019-03-22,1e-05,12.2,2019-02-01 15:19:06,,2019-02-04T16:54:56.000Z,SPY,262.0,SPY190322C00262000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,1.0
340,SPY190322C00263000_20190204_10,0.0,0.0,2019-03-22,1e-05,10.21,2019-02-01 19:56:32,,2019-02-04T16:54:56.000Z,SPY,263.0,SPY190322C00263000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,1.0
341,SPY190322C00264000_20190204_10,0.0,0.0,2019-03-22,1e-05,10.21,2019-02-01 16:05:59,,2019-02-04T16:54:56.000Z,SPY,264.0,SPY190322C00264000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,1.0
343,SPY190322C00265000_20190204_10,0.0,0.0,2019-03-22,1e-05,8.97,2019-01-31 18:43:04,0.0,2019-02-04T16:54:56.000Z,SPY,265.0,SPY190322C00265000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,
344,SPY190322C00266000_20190204_10,0.0,0.0,2019-03-22,1e-05,8.05,2019-02-01 20:15:05,,2019-02-04T16:54:56.000Z,SPY,266.0,SPY190322C00266000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,4.0
345,SPY190322C00267000_20190204_10,0.0,0.0,2019-03-22,1e-05,8.29,2019-02-01 15:14:50,0.0,2019-02-04T16:54:56.000Z,SPY,267.0,SPY190322C00267000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,2.0
346,SPY190322C00268000_20190204_10,0.0,0.0,2019-03-22,1e-05,6.88,2019-01-31 15:46:06,0.0,2019-02-04T16:54:56.000Z,SPY,268.0,SPY190322C00268000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,
347,SPY190322C00269000_20190204_10,0.0,0.0,2019-03-22,1e-05,6.52,2019-02-01 15:01:02,0.0,2019-02-04T16:54:56.000Z,SPY,269.0,SPY190322C00269000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,5.0
349,SPY190322C00270000_20190204_10,0.0,0.0,2019-03-22,1e-05,5.89,2019-02-01 18:51:44,0.0,2019-02-04T16:54:56.000Z,SPY,270.0,SPY190322C00270000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,10016.0
350,SPY190322C00271000_20190204_10,0.0,0.0,2019-03-22,0.0009865527,5.0,2019-02-01 19:18:56,0.0,2019-02-04T16:54:56.000Z,SPY,271.0,SPY190322C00271000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,51.0
351,SPY190322C00272000_20190204_10,0.0,0.0,2019-03-22,0.0039162109,4.54,2019-02-01 19:28:45,0.0,2019-02-04T16:54:56.000Z,SPY,272.0,SPY190322C00272000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,10.0
352,SPY190322C00272500_20190204_10,0.0,0.0,2019-03-22,0.0039162109,4.24,2019-02-01 19:28:45,,2019-02-04T16:54:56.000Z,SPY,272.5,SPY190322C00272500,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,20.0
354,SPY190322C00275000_20190204_10,0.0,0.0,2019-03-22,0.0078224219,3.45,2019-02-01 16:39:45,0.0,2019-02-04T16:54:56.000Z,SPY,275.0,SPY190322C00275000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,1.0
355,SPY190322C00276000_20190204_10,0.0,0.0,2019-03-22,0.0156348438,2.59,2019-02-01 20:16:50,0.0,2019-02-04T16:54:56.000Z,SPY,276.0,SPY190322C00276000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,4.0
356,SPY190322C00277000_20190204_10,0.0,0.0,2019-03-22,0.0156348438,2.29,2019-02-01 20:50:57,0.0,2019-02-04T16:54:56.000Z,SPY,277.0,SPY190322C00277000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,1002.0
357,SPY190322C00278000_20190204_10,0.0,0.0,2019-03-22,0.0156348438,2.35,2019-02-01 15:33:01,0.0,2019-02-04T16:54:56.000Z,SPY,278.0,SPY190322C00278000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,20.0
358,SPY190322C00279000_20190204_10,0.0,0.0,2019-03-22,0.0156348438,1.84,2019-02-01 18:38:48,,2019-02-04T16:54:56.000Z,SPY,279.0,SPY190322C00279000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,3.0
360,SPY190322C00280000_20190204_10,0.0,0.0,2019-03-22,0.0156348438,1.42,2019-02-01 20:48:37,0.0,2019-02-04T16:54:56.000Z,SPY,280.0,SPY190322C00280000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,331.0
361,SPY190322C00282000_20190204_10,0.0,0.0,2019-03-22,0.0312596875,1.01,2019-02-01 19:40:20,,2019-02-04T16:54:56.000Z,SPY,282.0,SPY190322C00282000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,17.0
362,SPY190322C00282500_20190204_10,0.0,0.0,2019-03-22,0.0312596875,1.09,2019-02-01 15:54:06,0.0,2019-02-04T16:54:56.000Z,SPY,282.5,SPY190322C00282500,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,8.0
364,SPY190322C00285000_20190204_10,0.0,0.0,2019-03-22,0.0312596875,0.71,2019-01-31 21:14:47,0.0,2019-02-04T16:54:56.000Z,SPY,285.0,SPY190322C00285000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,
365,SPY190322C00286000_20190204_10,0.0,0.0,2019-03-22,0.0312596875,0.46,2019-02-01 20:16:50,,2019-02-04T16:54:56.000Z,SPY,286.0,SPY190322C00286000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,8.0
366,SPY190322C00287000_20190204_10,0.0,0.0,2019-03-22,0.0312596875,0.41,2019-02-01 19:09:06,,2019-02-04T16:54:56.000Z,SPY,287.0,SPY190322C00287000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,3.0
367,SPY190322C00287500_20190204_10,0.0,0.0,2019-03-22,0.0312596875,0.36,2019-02-01 19:09:06,,2019-02-04T16:54:56.000Z,SPY,287.5,SPY190322C00287500,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,3.0
368,SPY190322C00288000_20190204_10,0.0,0.0,2019-03-22,0.0312596875,0.38,2019-02-01 14:45:00,,2019-02-04T16:54:56.000Z,SPY,288.0,SPY190322C00288000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,5.0
369,SPY190322C00289000_20190204_10,0.0,0.0,2019-03-22,0.0312596875,0.31,2019-02-01 14:38:05,,2019-02-04T16:54:56.000Z,SPY,289.0,SPY190322C00289000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,1.0
371,SPY190322C00290000_20190204_10,0.0,0.0,2019-03-22,0.0312596875,0.28,2019-01-31 18:53:08,0.0,2019-02-04T16:54:56.000Z,SPY,290.0,SPY190322C00290000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,
372,SPY190322C00292500_20190204_10,0.0,0.0,2019-03-22,0.062509375,0.19,2019-02-01 15:24:55,,2019-02-04T16:54:56.000Z,SPY,292.5,SPY190322C00292500,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,2.0
373,SPY190322C00300000_20190204_10,0.0,0.0,2019-03-22,0.062509375,0.07,2019-01-31 17:27:10,0.0,2019-02-04T16:54:56.000Z,SPY,300.0,SPY190322C00300000,Call,270.8,20190204,2019-02-04 10:55:04,10,10:55:04,
163,SPY190329C00187000_20190204_10,84.24,83.93,2019-03-29,0.5234422656,79.45,2019-01-18 20:10:38,474.0,2019-02-04T16:25:03.000Z,SPY,187.0,SPY190329C00187000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
164,SPY190329C00188000_20190204_10,83.08,82.79,2019-03-29,0.5161181201,93.92,2018-07-21 03:52:50,41.0,2019-02-04T16:25:03.000Z,SPY,188.0,SPY190329C00188000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,42.0
165,SPY190329C00189000_20190204_10,82.13,81.82,2019-03-29,0.517338811,94.26,2018-07-24 14:03:15,72.0,2019-02-04T16:25:03.000Z,SPY,189.0,SPY190329C00189000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
166,SPY190329C00190000_20190204_10,81.24,80.94,2019-03-29,0.5048877637,63.49,2019-01-04 19:23:06,351.0,2019-02-04T16:25:03.000Z,SPY,190.0,SPY190329C00190000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,6.0
167,SPY190329C00191000_20190204_10,80.24,79.95,2019-03-29,0.5195360547,95.44,2018-08-20 16:45:47,90.0,2019-02-04T16:25:03.000Z,SPY,191.0,SPY190329C00191000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
168,SPY190329C00192000_20190204_10,79.15,78.85,2019-03-29,0.5007374146,81.6,2018-06-26 15:03:08,19.0,2019-02-04T16:25:03.000Z,SPY,192.0,SPY190329C00192000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,19.0
169,SPY190329C00193000_20190204_10,78.11,77.79,2019-03-29,0.4887746436,73.83,2018-12-13 14:49:24,1.0,2019-02-04T16:25:03.000Z,SPY,193.0,SPY190329C00193000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
170,SPY190329C00194000_20190204_10,77.18,76.86,2019-03-29,0.4919484399,92.39,2018-08-09 18:18:39,20.0,2019-02-04T16:25:03.000Z,SPY,194.0,SPY190329C00194000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
171,SPY190329C00195000_20190204_10,76.26,75.97,2019-03-29,0.4958546509,56.68,2018-12-21 15:21:08,503.0,2019-02-04T16:25:03.000Z,SPY,195.0,SPY190329C00195000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,10.0
172,SPY190329C00196000_20190204_10,75.12,74.79,2019-03-29,0.4709525562,89.11,2018-08-16 15:14:10,2.0,2019-02-04T16:25:03.000Z,SPY,196.0,SPY190329C00196000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
173,SPY190329C00197000_20190204_10,74.22,73.89,2019-03-29,0.4777884253,69.95,2018-12-15 04:47:38,3.0,2019-02-04T16:25:03.000Z,SPY,197.0,SPY190329C00197000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,3.0
174,SPY190329C00198000_20190204_10,73.15,72.82,2019-03-29,0.4624077197,95.51,2018-09-20 15:15:37,1.0,2019-02-04T16:25:03.000Z,SPY,198.0,SPY190329C00198000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
175,SPY190329C00199000_20190204_10,72.28,71.96,2019-03-29,0.4721732471,45.78,2018-12-27 17:04:24,2.0,2019-02-04T16:25:03.000Z,SPY,199.0,SPY190329C00199000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
176,SPY190329C00200000_20190204_10,71.19,70.88,2019-03-29,0.454839436,66.26,2019-01-25 14:33:47,82.0,2019-02-04T16:25:03.000Z,SPY,200.0,SPY190329C00200000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,20.0
177,SPY190329C00201000_20190204_10,70.36,70.03,2019-03-29,0.4682670361,84.15,2018-07-27 21:48:55,1.0,2019-02-04T16:25:03.000Z,SPY,201.0,SPY190329C00201000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
178,SPY190329C00204000_20190204_10,67.25,66.9,2019-03-29,0.4367732104,35.82,2018-12-26 14:30:00,1.0,2019-02-04T16:25:03.000Z,SPY,204.0,SPY190329C00204000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
179,SPY190329C00205000_20190204_10,66.26,65.93,2019-03-29,0.4316463086,89.35,2018-09-20 19:31:48,2.0,2019-02-04T16:25:03.000Z,SPY,205.0,SPY190329C00205000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
180,SPY190329C00206000_20190204_10,65.28,64.93,2019-03-29,0.4274959595,74.15,2018-11-01 20:38:02,1.0,2019-02-04T16:25:03.000Z,SPY,206.0,SPY190329C00206000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
181,SPY190329C00208000_20190204_10,63.34,63.06,2019-03-29,0.4211483667,59.31,2018-12-15 04:47:42,1.0,2019-02-04T16:25:03.000Z,SPY,208.0,SPY190329C00208000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
182,SPY190329C00210000_20190204_10,61.36,61.06,2019-03-29,0.4106504248,53.0,2019-01-23 16:47:10,25.0,2019-02-04T16:25:03.000Z,SPY,210.0,SPY190329C00210000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,3.0
183,SPY190329C00211000_20190204_10,60.32,60.03,2019-03-29,0.4003966211,69.53,2018-11-01 20:38:03,10.0,2019-02-04T16:25:03.000Z,SPY,211.0,SPY190329C00211000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,10.0
184,SPY190329C00212000_20190204_10,59.3,58.99,2019-03-29,0.3920959229,33.2,2018-12-27 18:47:06,13.0,2019-02-04T16:25:03.000Z,SPY,212.0,SPY190329C00212000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,10.0
185,SPY190329C00213000_20190204_10,58.22,57.93,2019-03-29,0.37769177,49.8,2019-01-16 14:57:35,25.0,2019-02-04T16:25:03.000Z,SPY,213.0,SPY190329C00213000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
186,SPY190329C00214000_20190204_10,57.4,57.11,2019-03-29,0.3891662646,53.63,2018-12-13 14:46:35,64.0,2019-02-04T16:25:03.000Z,SPY,214.0,SPY190329C00214000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
188,SPY190329C00215000_20190204_10,56.33,56.01,2019-03-29,0.3764710791,44.61,2019-01-11 16:34:00,22.0,2019-02-04T16:25:03.000Z,SPY,215.0,SPY190329C00215000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,3.0
189,SPY190329C00216000_20190204_10,55.36,55.05,2019-03-29,0.3730531445,34.94,2018-12-21 14:38:00,1.0,2019-02-04T16:25:03.000Z,SPY,216.0,SPY190329C00216000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
190,SPY190329C00217000_20190204_10,54.44,54.09,2019-03-29,0.3739076282,25.63,2018-12-24 17:34:58,3.0,2019-02-04T16:25:03.000Z,SPY,217.0,SPY190329C00217000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
191,SPY190329C00218000_20190204_10,53.27,52.99,2019-03-29,0.3523013989,25.42,2018-12-24 15:21:52,2.0,2019-02-04T16:25:03.000Z,SPY,218.0,SPY190329C00218000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
192,SPY190329C00219000_20190204_10,52.28,52.0,2019-03-29,0.347052428,24.31,2018-12-24 17:30:26,1.0,2019-02-04T16:25:03.000Z,SPY,219.0,SPY190329C00219000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,4.0
193,SPY190329C00220000_20190204_10,51.4,51.08,2019-03-29,0.3516910535,45.4,2019-01-30 15:18:36,126.0,2019-02-04T16:25:03.000Z,SPY,220.0,SPY190329C00220000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,11.0
194,SPY190329C00221000_20190204_10,50.4,50.03,2019-03-29,0.3454655298,36.5,2019-01-08 17:54:53,1.0,2019-02-04T16:25:03.000Z,SPY,221.0,SPY190329C00221000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
195,SPY190329C00222000_20190204_10,49.32,49.01,2019-03-29,0.3325262061,38.1,2019-01-09 16:24:53,54.0,2019-02-04T16:25:03.000Z,SPY,222.0,SPY190329C00222000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,10.0
196,SPY190329C00224000_20190204_10,47.41,47.09,2019-03-29,0.3277655115,34.05,2019-01-08 18:07:22,15.0,2019-02-04T16:25:03.000Z,SPY,224.0,SPY190329C00224000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,3.0
