,_id,ask,bid,expiration,impliedvolatility,lastprice,lasttradedate,openinterest,quotetime,ticker,strike,contractsymbol,type,underlying_price,updatedate,update_datetime,update_hour,updatetime,volume
33,SPY190322C00288000_20190204_08,0.0,0.0,2019-03-22,0.0312596875,0.38,2019-02-01 14:45:00,,2019-02-04T14:40:00.000Z,SPY,288.0,SPY190322C00288000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,5.0
34,SPY190322C00289000_20190204_08,0.0,0.0,2019-03-22,0.0312596875,0.31,2019-02-01 14:38:05,,2019-02-04T14:40:00.000Z,SPY,289.0,SPY190322C00289000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,1.0
36,SPY190322C00290000_20190204_08,0.0,0.0,2019-03-22,0.0312596875,0.28,2019-01-31 18:53:08,0.0,2019-02-04T14:40:00.000Z,SPY,290.0,SPY190322C00290000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,
37,SPY190322C00292500_20190204_08,0.0,0.0,2019-03-22,0.062509375,0.19,2019-02-01 15:24:55,,2019-02-04T14:40:00.000Z,SPY,292.5,SPY190322C00292500,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,2.0
38,SPY190322C00300000_20190204_08,0.0,0.0,2019-03-22,0.062509375,0.07,2019-01-31 17:27:10,0.0,2019-02-04T14:40:00.000Z,SPY,300.0,SPY190322C00300000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,
41,SPY190311C00260000_20190204_09,0.0,0.0,2019-03-11,1e-05,12.15,2019-02-01 19:57:59,,2019-02-04T15:09:57.000Z,SPY,260.0,SPY190311C00260000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,16.0
45,SPY190311C00265000_20190204_09,0.0,0.0,2019-03-11,1e-05,8.64,2019-02-01 18:57:31,,2019-02-04T15:09:57.000Z,SPY,265.0,SPY190311C00265000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,781.0
51,SPY190311C00270000_20190204_09,0.0,0.0,2019-03-11,0.0019631055,5.3,2019-02-01 18:43:43,,2019-02-04T15:09:57.000Z,SPY,270.0,SPY190311C00270000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,429.0
56,SPY190311C00275000_20190204_09,0.0,0.0,2019-03-11,0.0156348438,2.89,2019-02-01 16:36:22,,2019-02-04T15:09:57.000Z,SPY,275.0,SPY190311C00275000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,725.0
62,SPY190311C00280000_20190204_09,0.0,0.0,2019-03-11,0.0312596875,1.0,2019-02-01 20:42:57,,2019-02-04T15:09:57.000Z,SPY,280.0,SPY190311C00280000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,167.0
66,SPY190311C00285000_20190204_09,0.0,0.0,2019-03-11,0.0312596875,0.33,2019-02-01 20:12:25,,2019-02-04T15:09:57.000Z,SPY,285.0,SPY190311C00285000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,12.0
73,SPY190311C00290000_20190204_09,0.0,0.0,2019-03-11,0.062509375,0.14,2019-02-01 18:45:04,,2019-02-04T15:09:57.000Z,SPY,290.0,SPY190311C00290000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,5.0
77,SPY190311C00255000_20190204_09,0.0,0.0,2019-03-11,1e-05,16.97,2019-02-01 18:48:08,,2019-02-04T15:40:01.000Z,SPY,255.0,SPY190311C00255000,Call,269.92,20190204,2019-02-04 09:40:04,09,09:40:04,17.0
39,SPY190322C00247500_20190204_09,0.0,0.0,2019-03-22,1e-05,24.45,2019-02-01 17:24:50,,2019-02-04T15:09:57.000Z,SPY,247.5,SPY190322C00247500,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,1.0
40,SPY190322C00254000_20190204_09,0.0,0.0,2019-03-22,1e-05,19.05,2019-02-01 15:19:06,,2019-02-04T15:09:57.000Z,SPY,254.0,SPY190322C00254000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,1.0
42,SPY190322C00262000_20190204_09,0.0,0.0,2019-03-22,1e-05,12.2,2019-02-01 15:19:06,,2019-02-04T15:09:57.000Z,SPY,262.0,SPY190322C00262000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,1.0
43,SPY190322C00263000_20190204_09,0.0,0.0,2019-03-22,1e-05,10.21,2019-02-01 19:56:32,,2019-02-04T15:09:57.000Z,SPY,263.0,SPY190322C00263000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,1.0
44,SPY190322C00264000_20190204_09,0.0,0.0,2019-03-22,1e-05,10.21,2019-02-01 16:05:59,,2019-02-04T15:09:57.000Z,SPY,264.0,SPY190322C00264000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,1.0
46,SPY190322C00265000_20190204_09,0.0,0.0,2019-03-22,1e-05,8.97,2019-01-31 18:43:04,0.0,2019-02-04T15:09:57.000Z,SPY,265.0,SPY190322C00265000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,
47,SPY190322C00266000_20190204_09,0.0,0.0,2019-03-22,1e-05,8.05,2019-02-01 20:15:05,,2019-02-04T15:09:57.000Z,SPY,266.0,SPY190322C00266000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,4.0
48,SPY190322C00267000_20190204_09,0.0,0.0,2019-03-22,1e-05,8.29,2019-02-01 15:14:50,0.0,2019-02-04T15:09:57.000Z,SPY,267.0,SPY190322C00267000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,2.0
49,SPY190322C00268000_20190204_09,0.0,0.0,2019-03-22,1e-05,6.88,2019-01-31 15:46:06,0.0,2019-02-04T15:09:57.000Z,SPY,268.0,SPY190322C00268000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,
50,SPY190322C00269000_20190204_09,0.0,0.0,2019-03-22,1e-05,6.52,2019-02-01 15:01:02,0.0,2019-02-04T15:09:57.000Z,SPY,269.0,SPY190322C00269000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,5.0
52,SPY190322C00270000_20190204_09,0.0,0.0,2019-03-22,0.0009865527,5.89,2019-02-01 18:51:44,0.0,2019-02-04T15:09:57.000Z,SPY,270.0,SPY190322C00270000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,10016.0
53,SPY190322C00271000_20190204_09,0.0,0.0,2019-03-22,0.0039162109,5.0,2019-02-01 19:18:56,0.0,2019-02-04T15:09:57.000Z,SPY,271.0,SPY190322C00271000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,51.0
54,SPY190322C00272000_20190204_09,0.0,0.0,2019-03-22,0.0078224219,4.54,2019-02-01 19:28:45,0.0,2019-02-04T15:09:57.000Z,SPY,272.0,SPY190322C00272000,Call,269.59,20190204,2019-02-04 09:10:02,09,09:10:02,10.0
