Date,Open,High,Low,Close,Adj Close,Volume
2016-10-03,215.82,216.04,-5,1.0,1.0,83512100
2016-10-04,215.91,216.17,-5,1.0,1.0,119948100
2016-10-05,215.41,216.13,-5,1.0,1.0,72816000
2016-10-06,215.37,216.04,-5,1.0,1.0,62927400
2016-10-07,216.1,216.3,-5,1.0,1.0,89788300
2016-10-10,216.16,216.7,-5,1.0,1.0,51855000
2016-10-11,215.66,215.74,-5,1.0,1.0,130367400
2016-10-12,213.59,214.32,-5,1.0,1.0,73866100
2016-10-13,212.16,213.59,-5,1.0,1.0,101357000
2016-10-14,214.15,214.69,-5,1.0,1.0,93346200
2016-10-17,213.09,213.39,-5,1.0,1.0,58275700
2016-10-18,214.24,214.31,-5,1.0,1.0,76869700
2016-10-19,214.02,214.64,-5,1.0,1.0,66519200
2016-10-20,213.87,214.53,-5,1.0,1.0,73639800
2016-10-21,213.88,214.08,-5,1.0,1.0,89089100
2016-10-24,215.0,215.32,-5,1.0,1.0,60146600
2016-10-25,214.68,214.98,-5,1.0,1.0,66542300
2016-10-26,213.21,214.42,-5,1.0,1.0,75705500
2016-10-27,214.58,214.62,-5,1.0,1.0,77220200
2016-10-28,213.14,213.93,-5,1.0,1.0,140623200
2016-10-31,212.93,213.19,-5,1.0,1.0,61272500
2016-11-01,212.93,212.99,-5,1.0,1.0,122781800
2016-11-02,210.65,211.1,-5,1.0,1.0,103330800
2016-11-03,209.99,210.24,-5,1.0,1.0,88939300
2016-11-04,208.91,209.89,-5,1.0,1.0,109122100
2016-11-07,208.55,213.19,-5,1.0,1.0,109794900
2016-11-08,212.69,214.77,-5,1.0,1.0,106772100
2016-11-09,212.37,217.1,-5,1.0,1.0,258429000
2016-11-10,217.3,218.31,-5,1.0,1.0,172113300
2016-11-11,216.08,216.7,-5,1.0,1.0,100552700
2016-11-14,217.03,217.27,-5,1.0,1.0,94580000
2016-11-15,217.04,218.28,-5,1.0,1.0,91652600
2016-11-16,217.56,218.14,-5,1.0,1.0,65617700
2016-11-17,218.05,219.06,-5,1.0,1.0,69797200
2016-11-18,219.07,219.27,-5,1.0,1.0,86265800
2016-11-21,219.17,220.18,-5,1.0,1.0,72402600
2016-11-22,220.51,220.79,-5,1.0,1.0,67429000
2016-11-23,219.98,220.76,-5,1.0,1.0,56620200
2016-11-25,221.1,221.56,-5,1.0,1.0,37872300
2016-11-28,221.16,221.48,-5,1.0,1.0,76572500
2016-11-29,220.52,221.44,-5,1.0,1.0,69886700
2016-11-30,221.63,221.82,-5,1.0,1.0,113291800
2016-12-01,220.73,220.73,-5,1.0,1.0,79040500
2016-12-02,219.67,220.25,-5,1.0,1.0,74840300
2016-12-05,220.65,221.4,-5,1.0,1.0,67837800
2016-12-06,221.22,221.74,-5,1.0,1.0,59877400
2016-12-07,221.52,224.67,-5,1.0,1.0,110738100
2016-12-08,224.57,225.7,-5,1.0,1.0,99714400
2016-12-09,225.41,226.53,-5,1.0,1.0,88005800
2016-12-12,226.4,226.96,-5,1.0,1.0,102016100
2016-12-13,227.02,228.34,-5,1.0,1.0,110477500
2016-12-14,227.41,228.23,-5,1.0,1.0,142501800
2016-12-15,226.16,227.81,-5,1.0,1.0,124972600
2016-12-16,226.01,226.08,-5,1.0,1.0,156420200
2016-12-19,225.25,226.02,-5,1.0,1.0,90341100
2016-12-20,226.15,226.57,-5,1.0,1.0,89838800
2016-12-21,226.25,226.45,-5,1.0,1.0,67909000
