name,probability,correl,state_0_mean,state_1_mean,state_2_mean,state_0_next_mean,state_1_next_mean,state_2_next_mean,pca_n_components,k_features,features
muzzy-ivory-devil,0.00251660632281724,0.999059297646422,-0.111693649989172,0.0486714272063809,0.0996391225848424,0.0155996816628692,0.0499755666073547,0.0610106079625592,5,13,"['return', 'stddev', 'stochf_fastk', 'mom', 'cci', 'atr', 'ultosc', 'macd', 'intraday_change', '1_day_change', 'macdfix', 'stoch_slowk', 'rsi', 'willr']"
bluesy-tangerine-bobcat,17.3018286423048,0.998896379347967,-1.58482303720439,0.0969302950777331,0.617785812307209,-0.109449605068022,0.0524956690552533,0.113495420982301,11,4,"['return', 'rocr', 'ppo', '1_day_change', 'ht_phasor_inphase']"
gimpy-pear-hippopotamus,2.47789195266668,0.99995454834573,-0.531606830571926,0.0963664608412667,0.149595879533641,-0.0986930228742618,0.0639262267556704,0.0747806862295037,14,3,"['return', 'cci', 'intraday_change', 'rocr100']"
lousy-lemon-spoonbill,0.366683257535293,0.9653437950316,-0.0504632816167633,0.0275202882438496,0.175783368266837,0.0107951965089531,0.0270553479157036,0.117793965921899,3,14,"['return', 'obv', 'dx', 'stochrsi_fastk', 'stochrsi_fastd', 'linearreg_angle', '1_day_change', 'willr', 'macd_hist', 'minus_dm', 'ht_phasor_inphase', 'natr', 'var', 'trange', 'bop']"
messy-flax-malamute,0.961493847437755,0.998924364641776,-0.128165658681372,0.0726877109091264,0.175779699715094,-0.0225017434738387,0.0575630815274358,0.102628993288287,11,10,"['return', 'roc', 'var', 'rocr', 'linearreg_slope', 'macd_hist', 'stochf_fastd', 'stochf_fastk', 'macdfix_hist', 'cci', 'ht_phasor_quadrature']"
muzzy-smalt-chimpanzee,1.84635638067183,0.99780233640282,-0.76050510812168,0.0966057342985908,0.645264764375828,-0.0329113362436625,0.0592088682575532,0.103115631019204,9,6,"['return', '1_day_change', 'minus_di', 'rocp', 'adosc', 'stoch_slowk', 'minus_dm']"
leaky-khaki-moth,0.224807590043651,0.99989651194626,-0.171995868395093,0.0716571925116912,0.118555598561513,-0.0375920398312903,0.0608694537966396,0.0757879672631321,10,6,"['return', 'dx', 'roc', 'macdfix_hist', 'rocr100', 'obv', 'adxr']"
homey-apricot-corgi,0.0734214015601095,0.999121817919028,-1.3116037673167,0.115622619160094,0.494612506349665,-0.119054897704601,0.0624247373715235,0.097139323230802,12,11,"['return', 'ht_sine', 'linearreg_angle', 'rocr100', 'atr', 'roc', '1_day_change', 'macd', 'stochrsi_fastk', 'correl', 'stochf_fastk', 'adosc']"
ready-platinum-drever,1.04240753817926e-12,0.999992116110744,-0.06538983896465,0.0588970431325289,0.106468738067608,0.0448508020362063,0.0512557177807588,0.0532764420131911,13,12,"['return', 'rocr100', 'macdfix_hist', 'dx', 'mom', 'bop', 'obv', 'stochf_fastk', 'macd_hist', 'beta', 'ht_phasor_quadrature', 'macd', 'ht_dcphase']"
boozy-mustard-grouse,0.000752881736327775,0.9977843003245,-0.713702524132639,0.0920777746884817,0.489693990713193,-0.131628296707058,0.0691349859265044,0.139649157066584,8,14,"['return', 'minus_dm', 'trange', 'willr', '1_day_change', 'minus_di', 'stochf_fastk', 'correl', 'ht_leadsine', 'adosc', 'rocr100', 'bop', 'cmo', 'natr', 'stochf_fastd']"
sleazy-buff-chinook,0.0497330447580036,0.99882094119513,-0.18356940070055,0.108867219401354,0.129885357809686,-0.0180750629760964,0.0643210720002355,0.0748984802218456,13,9,"['return', 'macd_hist', 'minus_di', 'rocr', 'trange', 'aroon_down', 'cmo', 'dx', '1_day_change', 'ht_dcphase']"
craggy-salmon-squid,0.000135336552353797,0.99925330343214,-0.80690722888364,0.121539506716547,0.301289813445616,-0.177506410283394,0.0757545459659658,0.107488140183895,9,12,"['return', 'minus_dm', 'willr', 'dx', 'cmo', 'cci', 'adosc', '1_day_change', 'macd_hist', 'bop', 'stochf_fastk', 'ht_phasor_inphase', 'minus_di']"
shaky-lemon-capuchin,0.000841232196971531,0.997278387652817,-0.0560769635796184,-0.0219744615855759,0.172054078853345,0.025574138908205,0.0250730047467944,0.0849652763325852,11,8,"['return', 'bop', 'macd', 'volume', 'rocp', 'macd_hist', 'stddev', 'adosc', 'willr']"
sloppy-cyan-vulture,0.486843106087039,0.99466420014408,-0.282017642431445,0.0684051459938191,0.187549210937846,-0.0640658772198406,0.0673933833181657,0.0883908747904909,4,5,"['return', 'stochf_fastd', 'rocr', 'dx', 'macdfix_hist', 'rsi']"
woolly-carmine-frigatebird,0.00462421838932445,0.985659242877132,-0.0404387542433359,-0.0221231504678427,0.161758535301985,0.0253274994178681,0.023870060734875,0.0843146571091564,7,14,"['return', 'intraday_change', 'bop', 'minus_di', 'volume', 'plus_di', 'dx', 'rocr', 'adosc', 'ht_dcphase', 'macdfix_hist', 'stddev', 'trange', 'correl', 'stochrsi_fastk']"
crabby-chartreuse-cichlid,0.000924861860212976,0.987340875606389,-0.470394738933062,0.103793971194125,0.232875328590924,-0.0646052977564326,0.0721032257372276,0.0727995442028099,9,11,"['return', 'stochf_fastd', 'intraday_change', 'var', 'stddev', 'willr', 'adosc', 'adx', 'bop', 'macd_hist', 'mom', '1_day_change']"
sickly-scarlet-kangaroo,0.111505710262775,0.99772641284499,-1.01461533291057,0.115860061900825,0.36800233262431,-0.0189965135268382,0.0588850761804576,0.0682881074125397,9,7,"['return', 'trange', '1_day_change', 'mfi', 'willr', 'ht_dcphase', 'plus_dm', 'rocp']"
scanty-olivine-meerkat,0.00381758335211513,0.99991505376564,-0.876288281448146,0.102179523969443,0.492447718551587,-0.048356350779104,0.0576435801604515,0.0961720370542391,6,9,"['return', 'macdfix_signal', 'trange', 'macdfix', 'adosc', 'macd', 'ultosc', '1_day_change', 'stochf_fastk', 'minus_di']"
scanty-aqua-toucan,2.91826950637715e-25,0.999903956886852,-0.390349800201535,0.0974672443254113,0.121292420574883,-0.0547265669448251,0.062989980977126,0.0662584939284798,5,11,"['return', 'fama', 'cci', 'macdfix', 'stochf_fastk', 'roc', 'macd_signal', 'linearreg_intercept', 'var', 'beta', 'plus_di', 'low']"
lanky-auburn-horse,0.722957081341746,0.995317156852899,-0.0760540338971457,-0.0267862084865224,0.142571918266153,0.000266823486507716,0.0209292913577066,0.0857161905775914,3,12,"['return', 'volume', 'minus_dm', 'adosc', 'stochrsi_fastd', 'stddev', 'trange', 'rsi', 'natr', 'rocp', 'minus_di', 'dx', 'intraday_change']"
droopy-amethyst-echidna,0.000392388939333033,0.99936815428196,-0.0523677656404481,0.0856833409290471,0.23057240982632,0.00985728767955,0.0667414394509953,0.11511315957487,10,9,"['return', 'intraday_change', 'ppo', 'obv', 'trange', 'aroon_down', 'macd', '1_day_change', 'minus_dm', 'ht_leadsine']"
greasy-asparagus-tzu,0.0884713506125818,0.992479667501485,-0.0861598902606431,-0.00421951818673502,0.142803387315638,-0.000901844180081809,0.041094306756394,0.0797567208528887,5,9,"['return', 'minus_di', 'ultosc', 'dx', 'bop', 'cmo', 'mom', 'natr', 'linearreg_angle', 'cci']"
ugly-ultramarine-bombay,1.11967319881557e-05,0.999661836766492,-0.129979289413603,0.0115315546299448,0.127041759374657,-0.0188761526029362,0.0337656737793123,0.0810478774587512,11,13,"['return', 'mom', 'ultosc', 'ht_phasor_inphase', 'rocr100', 'cmo', 'cci', 'macdfix', 'volume', 'minus_dm', 'var', 'macd', 'macdfix_signal', 'ht_phasor_quadrature']"
crabby-teal-cheetah,3.73255326870813,0.991515469628657,-0.538349912193252,0.164269292838504,0.225351023445224,-0.12257825563449,0.0745601759181558,0.120888725633627,10,3,"['return', 'cmo', 'willr', 'cci']"
greasy-gold-bison,7.99487128747714e-05,0.996926154383947,-0.0343292346861738,-0.00525765152239034,0.140336624701955,0.0428430157316141,0.0428643568019619,0.0610968452971837,10,12,"['return', 'willr', 'minus_dm', 'macd', 'mfi', 'dx', 'apo', 'ht_phasor_inphase', 'rocr100', 'linearreg_slope', 'rocr', 'ht_phasor_quadrature', 'cmo']"
flaky-buff-chihuahua,0.235121768736283,0.983665811584057,-0.102492415536279,0.0619397120694883,0.150207259817251,-0.00800880955657338,0.0672978981213528,0.0810465762847144,12,12,"['return', 'roc', 'macd_hist', 'dx', 'rocp', 'cci', 'macdfix_signal', '1_day_change', 'volume', 'stochrsi_fastd', 'macd', 'stddev', 'linearreg_slope']"
gummy-linen-skunk,95.0540243270911,0.956376304239706,-1.26804824774051,0.116571543375286,0.379420491952914,-0.0897331273376049,0.0706230670175239,0.0433956462879277,12,4,"['return', 'minus_di', 'intraday_change', 'cmo', 'rsi']"
sloppy-mauve-baboon,0.200743119772143,0.999935771035046,-0.115722629678743,-0.0638338895028967,0.244585146601547,-0.00341983222070897,0.0194200749682281,0.10799860870877,4,9,"['return', 'stochf_fastk', 'macdfix', 'dx', 'stochf_fastd', 'macdfix_hist', 'adosc', 'stochrsi_fastk', 'trange', 'volume']"
zippy-khaki-devil,1.60780480274274,0.9993242186521,-0.853526725524218,0.216853336298129,0.415149864338174,-0.000169527113551354,0.0614977714463809,0.0690277891676249,12,3,"['return', 'stochf_fastk', 'stochrsi_fastd', 'rocp']"
hasty-celadon-caiman,0.00536156264656611,0.999397724187967,-0.0382784375882359,-0.00225089886837095,0.212196693176992,0.0290130610595283,0.0367475920958389,0.0904783613961201,7,7,"['return', 'ht_phasor_quadrature', 'stochf_fastk', 'minus_di', 'var', 'mom', 'rocr', 'mfi']"
leaky-bronze-hare,5.24170100261296e-06,0.976007866624975,-0.0428246431244188,-0.0119318451173581,0.182934607488003,0.0145289020026043,0.0104785923590644,0.112386726186209,11,14,"['return', 'minus_di', 'mom', 'rsi', 'stochf_fastd', 'stochrsi_fastd', 'apo', 'cci', 'macd_hist', 'trange', 'var', 'bop', 'willr', 'atr', 'stddev']"
sleazy-charcoal-dollar,0.0010378725427169,0.998846622785067,-0.528978593827195,0.14403572562133,0.274150294528109,-0.0924249568074485,0.0790398332125119,0.0970784862591784,14,11,"['return', 'linearreg_slope', 'stochrsi_fastd', 'bop', 'willr', 'cmo', 'cci', 'macdfix_hist', 'plus_di', 'ppo', 'minus_di', 'intraday_change']"
messy-aqua-neanderthal,0.00627020646738274,0.99982044490631,-0.951731689917275,0.106356673231427,0.464963449034241,-0.207659074770843,0.0684898900792637,0.148634969647929,9,10,"['return', 'intraday_change', 'stochf_fastk', 'minus_di', 'rsi', 'rocr', '1_day_change', 'stochrsi_fastk', 'volume', 'mom', 'adosc']"
hasty-aqua-monster,9.68199232886183e-05,0.985511894682688,-0.228739137603056,0.0360814571528635,0.167829334559633,-0.0258769793723251,0.0615490077658907,0.0769990256675442,11,11,"['return', 'ht_phasor_inphase', 'macd_signal', 'macd_hist', '1_day_change', 'bop', 'rocp', 'adosc', 'stddev', 'rocr100', 'natr', 'plus_dm']"
muggy-pumpkin-yak,0.441513864717971,0.999977281512575,-0.560875733954444,0.194240914365686,0.458186497057584,-0.0764893294655587,0.0822711104124892,0.132463686962953,6,4,"['return', 'stochrsi_fastd', 'linearreg_angle', 'rocr100', 'stochf_fastk']"
paltry-xanthic-buffalo,13.37519661395,0.95901569711655,-0.625061098394014,0.0885833459113043,0.821301536654401,-0.0131797626153795,0.0359214184345138,0.185971445524879,8,6,"['return', 'roc', 'rocr100', 'cmo', 'ht_leadsine', 'plus_di', 'bop']"
paltry-brown-cassowary,0.014319241293138,0.999935061285447,-0.311725394532092,0.0929750949773061,0.113547977299617,-0.0396635912633924,0.0597216966116359,0.0670276177234099,10,7,"['return', 'stochf_fastk', 'willr', 'minus_dm', 'stddev', 'correl', 'ppo', 'cci']"
lanky-lilac-kakapo,45.7087320725586,0.999955596832798,-1.2593499208095,0.111356945637999,0.910533346349868,-0.0241414652144814,0.0546162697439381,0.0973451488183938,8,3,"['return', '1_day_change', 'adosc', 'ht_phasor_inphase']"
geeky-amber-clam,0.0171500805136072,0.999659193175771,-0.0763336870442068,0.0405646424392483,0.194178468271597,-0.0069233914446105,0.0469061638869237,0.112455542908804,7,10,"['return', 'macd_hist', 'linearreg_angle', 'bop', 'rocr100', 'cmo', 'mom', 'stochf_fastk', 'natr', 'minus_di', 'rocp']"
gimpy-tomato-hedgehog,0.305737448892483,0.999810256216792,-0.191701220048422,0.0873170041007751,0.158470165104712,-0.00950461330864183,0.0591387644583226,0.0772057675209237,5,5,"['return', 'cmo', 'rocp', 'macd_hist', 'macdfix_hist', 'cci']"
